2016-03-17T08:49:23.257+0000	connected to: localhost
2016-03-17T08:49:23.258+0000	exported 17 records
2016-03-17T08:49:23.266+0000	connected to: localhost
2016-03-17T08:49:23.414+0000	exported 5834 records
2016-03-17T08:49:23.422+0000	connected to: localhost
2016-03-17T08:49:23.431+0000	exported 440 records
2016-03-17T08:49:23.438+0000	connected to: localhost
2016-03-17T08:49:23.438+0000	exported 7 records
2016-03-17T08:49:23.445+0000	connected to: localhost
2016-03-17T08:49:23.446+0000	exported 0 records
2016-03-17T08:49:23.452+0000	connected to: localhost
2016-03-17T08:49:23.455+0000	exported 80 records
2016-03-17T08:49:23.462+0000	connected to: localhost
2016-03-17T08:49:23.465+0000	exported 66 records
2016-03-17T08:49:23.472+0000	connected to: localhost
2016-03-17T08:49:23.537+0000	exported 876 records
2016-03-17T08:49:23.545+0000	connected to: localhost
2016-03-17T08:49:23.545+0000	exported 0 records
2016-03-17T08:49:23.553+0000	connected to: localhost
2016-03-17T08:49:23.555+0000	exported 21 records
2016-03-17T08:49:23.562+0000	connected to: localhost
2016-03-17T08:49:23.562+0000	exported 3 records
2016-03-17T08:49:23.569+0000	connected to: localhost
2016-03-17T08:49:23.570+0000	exported 31 records
2016-03-17T08:49:23.577+0000	connected to: localhost
2016-03-17T08:49:23.578+0000	exported 1 record
2016-03-17T08:49:23.585+0000	connected to: localhost
2016-03-17T08:49:23.588+0000	exported 163 records
2016-03-17T08:49:23.595+0000	connected to: localhost
2016-03-17T08:49:23.595+0000	exported 3 records
2016-03-17T08:49:23.602+0000	connected to: localhost
2016-03-17T08:49:23.603+0000	exported 1 record
2016-03-17T08:49:23.610+0000	connected to: localhost
2016-03-17T08:49:23.610+0000	exported 3 records
2016-03-17T08:49:23.617+0000	connected to: localhost
2016-03-17T08:49:23.617+0000	exported 4 records
2016-03-17T08:49:23.624+0000	connected to: localhost
2016-03-17T08:49:23.625+0000	exported 0 records
2016-03-17T08:49:23.631+0000	connected to: localhost
2016-03-17T08:49:23.632+0000	exported 0 records
2016-03-17T08:49:23.639+0000	connected to: localhost
2016-03-17T08:49:23.751+0000	exported 5157 records
2016-03-17T08:49:23.759+0000	connected to: localhost
2016-03-17T08:49:23.763+0000	exported 61 records
2016-03-17T08:49:23.770+0000	connected to: localhost
2016-03-17T08:49:23.951+0000	exported 848 records
2016-03-17T08:49:23.959+0000	connected to: localhost
2016-03-17T08:49:23.960+0000	exported 2 records
2016-03-17T08:49:23.967+0000	connected to: localhost
2016-03-17T08:49:23.971+0000	exported 133 records
2016-03-17T08:49:23.979+0000	connected to: localhost
2016-03-17T08:49:23.979+0000	exported 0 records
2016-03-17T08:49:23.986+0000	connected to: localhost
2016-03-17T08:49:23.987+0000	exported 2 records
2016-03-17T08:49:23.994+0000	connected to: localhost
2016-03-17T08:49:24.167+0000	exported 835 records
2016-03-17T08:49:24.176+0000	connected to: localhost
2016-03-17T08:49:24.176+0000	exported 6 records
2016-03-17T08:49:24.184+0000	connected to: localhost
2016-03-17T08:49:24.185+0000	exported 5 records
2016-03-17T08:49:24.192+0000	connected to: localhost
2016-03-17T08:49:24.192+0000	exported 1 record
2016-03-17T08:49:24.199+0000	connected to: localhost
2016-03-17T08:49:24.199+0000	exported 2 records
2016-03-17T08:49:24.207+0000	connected to: localhost
2016-03-17T08:49:26.639+0000	exported 115960 records
2016-03-17T08:49:26.648+0000	connected to: localhost
2016-03-17T08:49:26.667+0000	exported 667 records
2016-03-17T08:49:26.674+0000	connected to: localhost
2016-03-17T08:49:26.695+0000	exported 909 records
2016-03-17T08:49:26.703+0000	connected to: localhost
2016-03-17T08:49:26.724+0000	exported 751 records
2016-03-17T08:49:26.731+0000	connected to: localhost
2016-03-17T08:49:29.839+0000	exported 41524 records
2016-03-17T08:49:29.849+0000	connected to: localhost
2016-03-17T08:49:31.853+0000	exported 93960 records
